Date_time|Bet|Win|Winning_text|Cards_played|Potential_win|Potential_winning_text|Ten_cards
09/03/2021, 14:27:52|5|5|Pair Ace's|['spades_ace', 'spades_4', 'diamonds_7', 'spades_8', 'clubs_ace']|30|Flush|['spades_ace', 'clubs_9', 'spades_10', 'spades_5', 'clubs_ace', 'spades_4', 'diamonds_7', 'spades_8', 'clubs_4', 'diamonds_5']
09/03/2021, 15:21:57|5|0||['diamonds_jack', 'spades_queen', 'spades_ace', 'spades_9', 'spades_8']|30|Flush|['hearts_2', 'spades_queen', 'spades_ace', 'spades_9', 'spades_8', 'diamonds_jack', 'spades_king', 'hearts_4', 'hearts_3', 'hearts_6']
09/03/2021, 15:22:19|5|5|Pair Queen's|['spades_9', 'diamonds_queen', 'hearts_3', 'clubs_queen', 'hearts_ace']|10|Two pair|['diamonds_2', 'clubs_8', 'diamonds_3', 'clubs_queen', 'hearts_ace', 'spades_9', 'diamonds_queen', 'hearts_3', 'clubs_10', 'clubs_7']
09/03/2021, 15:22:32|5|5|Pair Jack's|['hearts_queen', 'diamonds_jack', 'clubs_9', 'diamonds_2', 'clubs_jack']|30|Flush|['hearts_queen', 'diamonds_7', 'spades_6', 'hearts_2', 'diamonds_5', 'diamonds_jack', 'clubs_9', 'diamonds_2', 'clubs_jack', 'diamonds_king']
09/03/2021, 16:06:30|5|15|Three of a kind|['hearts_8', 'clubs_7', 'clubs_8', 'spades_8', 'hearts_ace']|45|Full house|['hearts_8', 'diamonds_king', 'clubs_8', 'clubs_queen', 'spades_7', 'clubs_7', 'spades_8', 'hearts_ace', 'clubs_10', 'hearts_king']
09/03/2021, 16:31:21|5|5|Pair Ace's|['hearts_jack', 'hearts_queen', 'hearts_7', 'hearts_ace', 'spades_ace']|10|Two pair|['clubs_5', 'hearts_queen', 'diamonds_9', 'clubs_4', 'diamonds_10', 'hearts_jack', 'hearts_7', 'hearts_ace', 'spades_ace', 'diamonds_queen']
09/03/2021, 16:31:33|5|5|Pair Queen's|['diamonds_queen', 'clubs_jack', 'diamonds_ace', 'spades_queen', 'hearts_king']|10|Two pair|['hearts_2', 'spades_9', 'diamonds_ace', 'spades_queen', 'hearts_king', 'diamonds_queen', 'clubs_jack', 'clubs_2', 'spades_king', 'clubs_7']
09/03/2021, 16:33:59|5|0||['spades_8', 'hearts_2', 'clubs_2', 'hearts_7', 'spades_ace']|10|Two pair|['diamonds_jack', 'hearts_2', 'clubs_2', 'spades_7', 'diamonds_10', 'spades_8', 'hearts_7', 'spades_ace', 'diamonds_9', 'clubs_8']
09/03/2021, 16:34:14|5|5|Pair Queen's|['spades_queen', 'spades_10', 'spades_7', 'hearts_queen', 'spades_6']|125|Four of a kind|['spades_queen', 'spades_10', 'spades_7', 'clubs_ace', 'spades_6', 'hearts_queen', 'diamonds_queen', 'clubs_queen', 'clubs_10', 'hearts_7']
09/03/2021, 16:34:26|5|5|Pair King's|['clubs_4', 'spades_queen', 'clubs_2', 'diamonds_king', 'spades_king']|10|Two pair|['hearts_2', 'spades_queen', 'diamonds_5', 'diamonds_king', 'spades_9', 'clubs_4', 'clubs_2', 'spades_king', 'diamonds_4', 'spades_8']
09/03/2021, 16:50:57|1|0||['spades_5', 'hearts_king', 'spades_3', 'diamonds_ace', 'diamonds_3']|9|Full house|['diamonds_4', 'clubs_9', 'spades_3', 'diamonds_king', 'diamonds_3', 'spades_5', 'hearts_king', 'diamonds_ace', 'hearts_9', 'clubs_king']
09/03/2021, 16:53:01|2|0||['spades_king', 'diamonds_10', 'hearts_jack', 'diamonds_8', 'spades_4']|0||['hearts_8', 'hearts_3', 'hearts_9', 'spades_2', 'spades_5', 'spades_king', 'diamonds_10', 'hearts_jack', 'diamonds_8', 'spades_4']
09/03/2021, 16:53:25|3|0||['diamonds_jack', 'clubs_8', 'hearts_2', 'clubs_ace', 'diamonds_3']|6|Two pair|['diamonds_jack', 'hearts_7', 'diamonds_2', 'hearts_8', 'diamonds_4', 'clubs_8', 'hearts_2', 'clubs_ace', 'diamonds_3', 'spades_7']
09/03/2021, 16:54:04|5|0||['clubs_4', 'diamonds_2', 'spades_10', 'clubs_6', 'spades_4']|20|Straight|['clubs_4', 'diamonds_9', 'clubs_8', 'spades_ace', 'spades_4', 'diamonds_2', 'spades_10', 'clubs_6', 'clubs_jack', 'spades_2']
09/03/2021, 16:54:27|1|0||['clubs_4', 'spades_jack', 'clubs_3', 'clubs_9', 'diamonds_king']|0||['clubs_4', 'diamonds_9', 'clubs_3', 'clubs_9', 'hearts_queen', 'spades_jack', 'diamonds_king', 'spades_ace', 'clubs_7', 'diamonds_10']
09/03/2021, 16:54:46|1|3|Three of a kind|['clubs_10', 'diamonds_10', 'clubs_3', 'spades_10', 'diamonds_2']|9|Full house|['clubs_10', 'diamonds_10', 'clubs_8', 'clubs_jack', 'hearts_7', 'clubs_3', 'spades_10', 'diamonds_2', 'clubs_queen', 'clubs_2']
09/03/2021, 16:55:22|1|0||['clubs_6', 'clubs_7', 'clubs_king', 'hearts_4', 'clubs_2']|2|Two pair|['hearts_3', 'spades_4', 'clubs_king', 'spades_8', 'diamonds_5', 'clubs_6', 'clubs_7', 'hearts_4', 'clubs_2', 'hearts_king']
09/03/2021, 16:55:41|2|0||['hearts_queen', 'spades_10', 'clubs_jack', 'diamonds_3', 'hearts_king']|0||['clubs_5', 'clubs_6', 'clubs_jack', 'diamonds_2', 'hearts_king', 'hearts_queen', 'spades_10', 'diamonds_3', 'hearts_10', 'clubs_7']
09/03/2021, 16:56:03|3|0||['diamonds_5', 'clubs_9', 'hearts_7', 'spades_10', 'spades_jack']|0||['clubs_2', 'diamonds_3', 'hearts_9', 'clubs_6', 'spades_jack', 'diamonds_5', 'clubs_9', 'hearts_7', 'spades_10', 'hearts_king']
